,id,year,month,day,precipitation,maxTemp,minTemp,meanTemp
0,85879,1904,1,1,-99.99000,-99.90000,-99.90000, -99.90000
1,85879,1904,1,2,-99.99000,-99.90000,-99.90000, -99.90000
2,85879,1904,1,3,-99.99000,-99.90000,-99.90000, -99.90000
3,85879,1904,1,4,-99.99000,-99.90000,-99.90000, -99.90000
4,85879,1904,1,5,-99.99000,-99.90000,-99.90000, -99.90000
5,85879,1904,1,6,-99.99000,-99.90000,-99.90000, -99.90000
6,85879,1904,1,7,-99.99000,-99.90000,-99.90000, -99.90000
7,85879,1904,1,8,-99.99000,-99.90000,-99.90000, -99.90000
8,85879,1904,1,9,-99.99000,-99.90000,-99.90000, -99.90000
9,85879,1904,1,10,-99.99000,-99.90000,-99.90000, -99.90000
10,85879,1904,1,11,-99.99000,-99.90000,-99.90000, -99.90000
11,85879,1904,1,12,-99.99000,-99.90000,-99.90000, -99.90000
12,85879,1904,1,13,-99.99000,-99.90000,-99.90000, -99.90000
13,85879,1904,1,14,-99.99000,-99.90000,-99.90000, -99.90000
14,85879,1904,1,15,-99.99000,-99.90000,-99.90000, -99.90000
15,85879,1904,1,16,-99.99000,-99.90000,-99.90000, -99.90000
16,85879,1904,1,17,-99.99000,-99.90000,-99.90000, -99.90000
17,85879,1904,1,18,-99.99000,-99.90000,-99.90000, -99.90000
18,85879,1904,1,19,-99.99000,-99.90000,-99.90000, -99.90000
19,85879,1904,1,20,-99.99000,-99.90000,-99.90000, -99.90000
20,85879,1904,1,21,-99.99000,-99.90000,-99.90000, -99.90000
21,85879,1904,1,22,-99.99000,-99.90000,-99.90000, -99.90000
22,85879,1904,1,23,-99.99000,-99.90000,-99.90000, -99.90000
23,85879,1904,1,24,-99.99000,-99.90000,-99.90000, -99.90000
24,85879,1904,1,25,-99.99000,-99.90000,-99.90000, -99.90000
25,85879,1904,1,26,-99.99000,-99.90000,-99.90000, -99.90000
26,85879,1904,1,27,-99.99000,-99.90000,-99.90000, -99.90000
27,85879,1904,1,28,-99.99000,-99.90000,-99.90000, -99.90000
28,85879,1904,1,29,-99.99000,-99.90000,-99.90000, -99.90000
29,85879,1904,1,30,-99.99000,-99.90000,-99.90000, -99.90000
30,85879,1904,1,31,-99.99000,-99.90000,-99.90000, -99.90000
31,85879,1904,2,1,0.00000,-99.90000,-99.90000, -99.90000
32,85879,1904,2,2,0.00000,62.00000,48.00000, 55.00000
33,85879,1904,2,3,0.00000,65.00000,40.00000, 52.50000
34,85879,1904,2,4,0.00000,65.00000,40.00000, 52.50000
35,85879,1904,2,5,0.00000,74.00000,48.00000, 61.00000
36,85879,1904,2,6,0.00000,73.00000,50.00000, 61.50000
37,85879,1904,2,7,0.00000,74.00000,60.00000, 67.00000
38,85879,1904,2,8,0.46000,70.00000,61.00000, 65.50000
