,id,year,month,day,precipitation,maxTemp,minTemp,meanTemp
0,87429,1968,1,1,0.39000,63.00000,53.00000, 58.00000
1,87429,1968,1,2,0.89000,58.00000,49.00000, 53.50000
2,87429,1968,1,3,0.02000,66.00000,54.00000, 60.00000
3,87429,1968,1,4,0.00000,71.00000,59.00000, 65.00000
4,87429,1968,1,5,0.23000,77.00000,35.00000, 56.00000
5,87429,1968,1,6,0.00000,56.00000,35.00000, 45.50000
6,87429,1968,1,7,0.22000,65.00000,43.00000, 54.00000
7,87429,1968,1,8,0.00000,54.00000,33.00000, 43.50000
8,87429,1968,1,9,0.00000,55.00000,34.00000, 44.50000
9,87429,1968,1,10,0.45000,73.00000,45.00000, 59.00000
10,87429,1968,1,11,0.12000,69.00000,45.00000, 57.00000
11,87429,1968,1,12,0.02000,54.00000,34.00000, 44.00000
12,87429,1968,1,13,0.02000,49.00000,34.00000, 41.50000
13,87429,1968,1,14,0.00000,51.00000,25.00000, 38.00000
14,87429,1968,1,15,0.00000,38.00000,23.00000, 30.50000
15,87429,1968,1,16,0.00000,53.00000,26.00000, 39.50000
16,87429,1968,1,17,0.00000,56.00000,26.00000, 41.00000
17,87429,1968,1,18,0.00000,64.00000,30.00000, 47.00000
18,87429,1968,1,19,0.00000,71.00000,36.00000, 53.50000
19,87429,1968,1,20,0.00000,74.00000,38.00000, 56.00000
20,87429,1968,1,21,0.00000,71.00000,41.00000, 56.00000
21,87429,1968,1,22,0.00000,74.00000,40.00000, 57.00000
22,87429,1968,1,23,0.00000,76.00000,42.00000, 59.00000
23,87429,1968,1,24,0.08000,66.00000,40.00000, 53.00000
24,87429,1968,1,25,0.00000,47.00000,33.00000, 40.00000
25,87429,1968,1,26,0.00000,50.00000,26.00000, 38.00000
26,87429,1968,1,27,0.00000,59.00000,30.00000, 44.50000
27,87429,1968,1,28,0.00000,68.00000,36.00000, 52.00000
28,87429,1968,1,29,0.00000,72.00000,46.00000, 59.00000
29,87429,1968,1,30,0.00000,74.00000,47.00000, 60.50000
30,87429,1968,1,31,0.00000,76.00000,46.00000, 61.00000
31,87429,1968,2,1,0.00000,74.00000,45.00000, 59.50000
32,87429,1968,2,2,0.00000,74.00000,53.00000, 63.50000
33,87429,1968,2,3,0.30000,70.00000,36.00000, 53.00000
34,87429,1968,2,4,0.00000,61.00000,32.00000, 46.50000
35,87429,1968,2,5,0.00000,67.00000,39.00000, 53.00000
36,87429,1968,2,6,0.67000,63.00000,44.00000, 53.50000
37,87429,1968,2,7,0.02000,57.00000,35.00000, 46.00000
38,87429,1968,2,8,0.00000,62.00000,28.00000, 45.00000
39,87429,1968,2,9,0.00000,54.00000,27.00000, 40.50000
40,87429,1968,2,10,0.00000,53.00000,29.00000, 41.00000
41,87429,1968,2,11,0.00000,60.00000,38.00000, 49.00000
42,87429,1968,2,12,0.00000,69.00000,24.00000, 46.50000
43,87429,1968,2,13,0.00000,55.00000,27.00000, 41.00000
44,87429,1968,2,14,0.00000,56.00000,27.00000, 41.50000
45,87429,1968,2,15,0.00000,61.00000,27.00000, 44.00000
46,87429,1968,2,16,0.14000,51.00000,35.00000, 43.00000
47,87429,1968,2,17,0.00000,60.00000,30.00000, 45.00000
48,87429,1968,2,18,0.25000,58.00000,33.00000, 45.50000
49,87429,1968,2,19,0.35000,40.00000,33.00000, 36.50000
50,87429,1968,2,20,0.00000,58.00000,29.00000, 43.50000
51,87429,1968,2,21,0.00000,66.00000,34.00000, 50.00000
52,87429,1968,2,22,0.00000,71.00000,35.00000, 53.00000
53,87429,1968,2,23,0.41000,48.00000,35.00000, 41.50000
54,87429,1968,2,24,0.09000,40.00000,33.00000, 36.50000
55,87429,1968,2,25,0.00000,54.00000,28.00000, 41.00000
56,87429,1968,2,26,0.00000,59.00000,31.00000, 45.00000
57,87429,1968,2,27,0.14000,60.00000,36.00000, 48.00000
58,87429,1968,2,28,0.00000,57.00000,28.00000, 42.50000
59,87429,1968,2,29,0.25000,68.00000,36.00000, 52.00000
60,87429,1968,3,1,0.00000,55.00000,29.00000, 42.00000
61,87429,1968,3,2,0.00000,52.00000,30.00000, 41.00000
62,87429,1968,3,3,0.00000,66.00000,40.00000, 53.00000
63,87429,1968,3,4,0.00000,67.00000,31.00000, 49.00000
64,87429,1968,3,5,0.00000,59.00000,30.00000, 44.50000
65,87429,1968,3,6,0.13000,68.00000,42.00000, 55.00000
66,87429,1968,3,7,0.07000,57.00000,40.00000, 48.50000
67,87429,1968,3,8,0.00000,68.00000,40.00000, 54.00000
68,87429,1968,3,9,0.00000,74.00000,42.00000, 58.00000
69,87429,1968,3,10,0.14000,81.00000,57.00000, 69.00000
70,87429,1968,3,11,0.18000,82.00000,62.00000, 72.00000
71,87429,1968,3,12,0.38000,81.00000,65.00000, 73.00000
72,87429,1968,3,13,0.17000,75.00000,40.00000, 57.50000
73,87429,1968,3,14,0.00000,55.00000,31.00000, 43.00000
74,87429,1968,3,15,0.00000,64.00000,38.00000, 51.00000
75,87429,1968,3,16,0.00000,74.00000,47.00000, 60.50000
76,87429,1968,3,17,0.02000,72.00000,51.00000, 61.50000
77,87429,1968,3,18,0.00000,74.00000,38.00000, 56.00000
78,87429,1968,3,19,0.00000,80.00000,42.00000, 61.00000
79,87429,1968,3,20,0.00000,82.00000,43.00000, 62.50000
80,87429,1968,3,21,0.00000,83.00000,48.00000, 65.50000
81,87429,1968,3,22,0.00000,83.00000,53.00000, 68.00000
82,87429,1968,3,23,0.18000,78.00000,36.00000, 57.00000
83,87429,1968,3,24,0.00000,52.00000,30.00000, 41.00000
84,87429,1968,3,25,0.00000,58.00000,29.00000, 43.50000
85,87429,1968,3,26,0.00000,73.00000,36.00000, 54.50000
86,87429,1968,3,27,0.00000,78.00000,45.00000, 61.50000
87,87429,1968,3,28,0.00000,79.00000,50.00000, 64.50000
88,87429,1968,3,29,0.00000,81.00000,49.00000, 65.00000
89,87429,1968,3,30,0.00000,82.00000,54.00000, 68.00000
90,87429,1968,3,31,0.00000,83.00000,47.00000, 65.00000
91,87429,1968,4,1,0.00000,80.00000,60.00000, 70.00000
92,87429,1968,4,2,0.00000,83.00000,58.00000, 70.50000
93,87429,1968,4,3,0.00000,82.00000,59.00000, 70.50000
94,87429,1968,4,4,0.00000,81.00000,61.00000, 71.00000
95,87429,1968,4,5,0.00000,81.00000,59.00000, 70.00000
96,87429,1968,4,6,1.17000,79.00000,58.00000, 68.50000
97,87429,1968,4,7,0.00000,80.00000,56.00000, 68.00000
98,87429,1968,4,8,0.00000,81.00000,59.00000, 70.00000
99,87429,1968,4,9,0.00000,88.00000,61.00000, 74.50000
100,87429,1968,4,10,0.00000,85.00000,61.00000, 73.00000
101,87429,1968,4,11,0.36000,81.00000,52.00000, 66.50000
102,87429,1968,4,12,0.00000,76.00000,43.00000, 59.50000
103,87429,1968,4,13,0.00000,78.00000,43.00000, 60.50000
104,87429,1968,4,14,0.00000,79.00000,55.00000, 67.00000
105,87429,1968,4,15,0.06000,82.00000,59.00000, 70.50000
106,87429,1968,4,16,0.00000,80.00000,47.00000, 63.50000
107,87429,1968,4,17,0.00000,80.00000,53.00000, 66.50000
108,87429,1968,4,18,0.00000,82.00000,56.00000, 69.00000
109,87429,1968,4,19,0.00000,84.00000,58.00000, 71.00000
110,87429,1968,4,20,0.00000,89.00000,63.00000, 76.00000
111,87429,1968,4,21,0.00000,88.00000,63.00000, 75.50000
112,87429,1968,4,22,0.00000,90.00000,60.00000, 75.00000
113,87429,1968,4,23,0.00000,92.00000,64.00000, 78.00000
114,87429,1968,4,24,0.00000,88.00000,67.00000, 77.50000
115,87429,1968,4,25,0.11000,82.00000,41.00000, 61.50000
116,87429,1968,4,26,0.00000,78.00000,49.00000, 63.50000
117,87429,1968,4,27,0.00000,81.00000,59.00000, 70.00000
118,87429,1968,4,28,1.33000,82.00000,60.00000, 71.00000
119,87429,1968,4,29,0.00000,86.00000,66.00000, 76.00000
120,87429,1968,4,30,0.37000,81.00000,59.00000, 70.00000
121,87429,1968,5,1,0.00000,78.00000,50.00000, 64.00000
122,87429,1968,5,2,0.00000,84.00000,54.00000, 69.00000
123,87429,1968,5,3,0.00000,87.00000,57.00000, 72.00000
124,87429,1968,5,4,0.00000,86.00000,55.00000, 70.50000
125,87429,1968,5,5,0.55000,83.00000,56.00000, 69.50000
126,87429,1968,5,6,0.00000,79.00000,51.00000, 65.00000
127,87429,1968,5,7,0.00000,77.00000,55.00000, 66.00000
128,87429,1968,5,8,0.02000,84.00000,61.00000, 72.50000
129,87429,1968,5,9,0.00000,81.00000,57.00000, 69.00000
130,87429,1968,5,10,0.00000,80.00000,60.00000, 70.00000
131,87429,1968,5,11,0.00000,85.00000,64.00000, 74.50000
132,87429,1968,5,12,0.10000,85.00000,66.00000, 75.50000
133,87429,1968,5,13,0.10000,88.00000,65.00000, 76.50000
134,87429,1968,5,14,0.00000,88.00000,63.00000, 75.50000
135,87429,1968,5,15,0.00000,90.00000,66.00000, 78.00000
136,87429,1968,5,16,0.00000,92.00000,69.00000, 80.50000
137,87429,1968,5,17,0.00000,90.00000,68.00000, 79.00000
138,87429,1968,5,18,0.00000,-99.90000,-99.90000, -99.90000
139,87429,1968,5,19,0.84000,89.00000,67.00000, 78.00000
140,87429,1968,5,20,0.00000,85.00000,59.00000, 72.00000
141,87429,1968,5,21,0.00000,79.00000,53.00000, 66.00000
142,87429,1968,5,22,0.00000,80.00000,52.00000, 66.00000
143,87429,1968,5,23,0.00000,84.00000,52.00000, 68.00000
144,87429,1968,5,24,0.00000,86.00000,63.00000, 74.50000
145,87429,1968,5,25,0.00000,92.00000,67.00000, 79.50000
146,87429,1968,5,26,1.42000,88.00000,68.00000, 78.00000
147,87429,1968,5,27,0.45000,84.00000,64.00000, 74.00000
148,87429,1968,5,28,0.82000,86.00000,63.00000, 74.50000
149,87429,1968,5,29,0.02000,80.00000,52.00000, 66.00000
150,87429,1968,5,30,0.00000,82.00000,61.00000, 71.50000
151,87429,1968,5,31,0.00000,89.00000,63.00000, 76.00000
152,87429,1968,6,1,0.00000,91.00000,65.00000, 78.00000
153,87429,1968,6,2,0.00000,92.00000,65.00000, 78.50000
154,87429,1968,6,3,0.00000,91.00000,66.00000, 78.50000
155,87429,1968,6,4,0.00000,90.00000,67.00000, 78.50000
156,87429,1968,6,5,0.00000,90.00000,70.00000, 80.00000
157,87429,1968,6,6,0.00000,88.00000,63.00000, 75.50000
158,87429,1968,6,7,0.00000,76.00000,64.00000, 70.00000
159,87429,1968,6,8,0.00000,90.00000,69.00000, 79.50000
160,87429,1968,6,9,0.00000,91.00000,69.00000, 80.00000
161,87429,1968,6,10,0.08000,92.00000,71.00000, 81.50000
162,87429,1968,6,11,0.00000,98.00000,70.00000, 84.00000
163,87429,1968,6,12,0.00000,97.00000,70.00000, 83.50000
164,87429,1968,6,13,0.75000,97.00000,68.00000, 82.50000
165,87429,1968,6,14,0.00000,91.00000,65.00000, 78.00000
166,87429,1968,6,15,0.00000,95.00000,69.00000, 82.00000
167,87429,1968,6,16,0.00000,93.00000,68.00000, 80.50000
168,87429,1968,6,17,0.00000,93.00000,66.00000, 79.50000
169,87429,1968,6,18,0.00000,94.00000,66.00000, 80.00000
170,87429,1968,6,19,0.00000,94.00000,68.00000, 81.00000
171,87429,1968,6,20,0.00000,93.00000,66.00000, 79.50000
172,87429,1968,6,21,0.00000,97.00000,67.00000, 82.00000
173,87429,1968,6,22,0.25000,96.00000,69.00000, 82.50000
174,87429,1968,6,23,0.10000,90.00000,67.00000, 78.50000
175,87429,1968,6,24,0.55000,93.00000,68.00000, 80.50000
176,87429,1968,6,25,0.00000,92.00000,70.00000, 81.00000
177,87429,1968,6,26,0.00000,94.00000,71.00000, 82.50000
